店名,カテゴリ,緯度,経度,住所,最寄駅,メニュー,営業時間,定休日,電話,辛さ,テイクアウト,ガイドブックページ,位置概算,公式ページ
欧風カレー ガヴィアル 神保町店,欧風,35.695795,139.758433,千代田区神田神保町1-9 KOALA BLDG.JIMBOCHO 2F,"地下鉄 神保町駅 A５,A7 徒歩1分","シーフードカレー ￥2,310 / ポークカレー ￥1,980 / チーズカレー（アーモンド添え） ￥1,760",11:00～21:00（LO20:30）,火、年末年始,03-6273-7148,調整可能,あり,26,,https://kanda-curry.com/ガヴィアル-2/
欧風カレー ソレイユ,欧風,35.68602,139.738717,千代田区二番町11-20 グンショウ二番町ビル 1F,地下鉄 半蔵門駅 5番 麹町駅 3番 徒歩3分,"黒毛和牛のビーフカレー ￥2,150（オニオンフライはプラス￥120） / 牛タンカレー温野菜添え ￥3,000 / ドライカレー ￥1,950",ランチ 11:30～15:00 (LO 14:30) / ディナー17:30～21:00 (LO 20:30),第1＆第3土曜・日・祝、お盆、年末年始,03-6261-0184,調節可能,あり,26,,https://kanda-curry.com/欧風カレー-ソレイユ/
欧風カレー ボンディ秋葉原店,欧風,35.700199,139.772049,千代田区外神田4-2-6 AKIBA426ビル2F,JR秋葉原駅 電気街北口 徒歩4分,"チーズカレー ￥1,800 / チキンカレー ￥1,800 / 野菜カレー ￥1,800",ランチ 11:00～15:00（LO14:30） / ディナー 17:00～21:00（LO20:30）,火曜日,03-5207-2968,調整可能,あり,26,,https://kanda-curry.com/欧風カレー-ボンディ秋葉原店/
欧風カレー ボンディ 神田小川町店,欧風,35.693959,139.761718,千代田区神田小川町3‐9 AS ONE ビル2階,半蔵門線、都営新宿・三田線 神保町駅 A9出口 / 都営新宿線 小川町駅 B7出口 / JR 中央・総武線 御茶ノ水駅,"チキンカレー ¥1,800 / チーズカレー ¥1,800 / 豪快スペアリブカレー ¥2,150",平日ランチ 11:00～15:00(LO14:30) / 平日ディナー 17:00～21:00(LO20:30) / 土日祝 11:00～21:00(LO20:30),年末年始,03－3295－5709,甘口・中辛・辛口から選べます,あり,27,,https://kanda-curry.com/?p=6
欧風カレー ボンディ 神保町本店,欧風,35.695631,139.757377,千代田区 神田神保町2－3,地下鉄 神保町駅 A6 徒歩1分,"ビーフカレー ￥1,800 / ポークカレー ￥1,800 / チキンカレー ￥1,800",月～金 11:00～22:00（LO21:30） / 土日祝 10:00～22:00（LO21:30）,年末年始,03-3234-2080,中辛,あり,27,,https://kanda-curry.com/?p=2887
御茶ノ水 小川軒,欧風,35.701875,139.765745,文京区湯島1-9-3,JR御茶ノ水駅聖橋口より徒歩4分 / 地下鉄新御茶ノ水駅B1出口より徒歩5分 / 地下鉄御茶ノ水駅2番出口より徒歩３分,"メインメニュー / 小川軒 欧風ビーフカレー（ランチのみ） ￥1,600 / その他メニュー / レトルトカレー ¥756～（併設ショップ） / レイズンウイッチ 1個￥250（イートイン）／15個¥1,944（併設ショップ）",月～土ランチ 11:30〜14:30（LO13:30） / 月～土カフェ 13:30〜16:30（LO16:00）,日・祝日、第３土曜、ＧＷ、お盆、年末年始,03-5802-5420,中辛,なし,28,,https://kanda-curry.com/?p=19830
お茶の水 NARU,欧風,35.699547,139.763031,千代田区神田駿河台2-1B1,JR御茶ノ水駅 御茶ノ水橋口 徒歩1分,"2種カレー ￥1,350 / 欧風ポークカレー ￥1,000 / 限定ナッツカレー ￥1,200",ランチ 11:30～14:00（LO） / ※カレーは月・火ランチのみ,ライブ開催時、祝日、年末年始,03-3291-2321,やや辛い,なし,28,,https://kanda-curry.com/?p=1280
Cafe&Bar BASE CAMP,欧風,35.702202,139.753918,千代田区三崎町2-22-8 梨本ビル1F,JR水道橋駅 東口 徒歩1分,"BASE CAMPカレー ￥1,100 / ミニカレー ￥660 / 牛すじカレー ￥935 / 鶏モモのローストとゴロゴロ野菜 ￥1,728(2019年9月時点） / 岡野家のチーズケーキ ￥540(2019年9月時点）","ランチ 火水木 11:30 ～14:00（LO13:30） / ディナー 月火水木金・祝 /  17:00 ～23:30（LO23:00）",土・日、お盆、年末年始,03-5213-4884,普通,あり,28,,https://kanda-curry.com/?p=6807
カフェ＆パブ マーキュリー,欧風,35.691986,139.758456,千代田区一ッ橋2-1-1 如水会館1F,神保町駅 A8・A9出口 徒歩4分 / 竹橋駅 1b・3a出口 徒歩4分,"ビーフステーキカレー ¥2,550 / スパイシー野菜カレー ¥1,750 / ポークカツカレー ¥1,750",11:00~22:00(LO21:00),年末年始,03-3261-1108,やや辛い,なし,29,,https://kanda-curry.com/?p=11231
CAFE & BOOKS PASSAGE bis!,欧風,35.695217,139.759168,千代田区神田神保町1-15-3 サンサイド神保町ビル3F,地下鉄神保町A7出口徒歩1分,"メインメニュー名： / bis! 出汁スパイシーカレー ￥1,350 / その他 / 各種クラフトビール ￥700～ / メルト（上質なバスクチーズケーキ） ￥750",12:00-19:00（LO18:30）,年末年始,XのDMにて,やや辛い,なし,29,,https://kanda-curry.com/?p=19812
カレーの王様 市ヶ谷店,欧風,35.691433,139.736658,千代田区 九段北4-2-15 市ヶ谷プラザ1Ｆ,市ヶ谷駅 A1出口 徒歩10秒,"手仕込みロースカツカレー ￥1,100 / 復刻王様カレー ￥750 / ラッシー ￥330","平日 11:00～22:00（LO21:30） / 土日祝 11:00~17:00(LO16:30)",年末年始,03-3262-7465,調整可能,あり,29,,https://kanda-curry.com/?p=4858
カレーの市民 アルバ 秋葉原本店,欧風,35.700547,139.770364,千代田区 外神田3-2-9,JR秋葉原駅 電気街口 徒歩5分 / 地下鉄末広町駅 3番出口 徒歩5分,"カツカレー ￥1,000 / ホームランカレー ￥1,350 / アルバカレー ￥700",11:00～21:30（LO21:00）,年中無休,03-3254-5686,やや辛い,あり,30,,https://kanda-curry.com/?p=1869
喫茶 プペ,欧風,35.692236,139.762247,千代田区神田錦町3-13-11,地下鉄竹橋駅 3B 徒歩8分,"プぺ特製カレー ￥1,100 / ドライカレー ￥1,100 / 大盛り ＋￥200",11:30～16:00（LO）,土・日・祝、年末年始,03-3295-9746,普通,あり,30,,https://kanda-curry.com/喫茶-プペ-2/
